game_id,player_card1_rank,player_card1_suit,player_card2_rank,player_card2_suit,player_card3_rank,player_card3_suit,player_card_count,banker_card1_rank,banker_card1_suit,banker_card2_rank,banker_card2_suit,banker_card3_rank,banker_card3_suit,banker_card_count,player_final_total,banker_final_total,player_natural,banker_natural,winner
1,2,2,8,0,2,1,3,13,2,4,2,10,0,3,2,4,0,0,0
2,7,1,3,1,0,0,2,3,2,5,3,0,0,2,0,8,0,1,0
3,13,0,5,1,0,0,2,11,0,8,3,0,0,2,5,8,0,1,0
4,9,2,4,0,2,3,3,2,0,10,2,6,1,3,5,8,0,0,0
5,5,0,4,3,0,0,2,13,3,9,3,0,0,2,9,9,1,1,2
6,11,1,8,1,0,0,2,1,0,4,1,0,0,2,8,5,1,0,1
7,6,2,12,2,0,0,2,13,1,7,3,0,0,2,6,7,0,0,0
8,9,0,3,3,6,3,3,10,3,12,3,3,0,3,8,3,0,0,1
9,6,0,10,1,0,0,2,1,2,5,2,0,0,2,6,6,0,0,2
10,7,2,1,3,0,0,2,8,2,11,3,0,0,2,8,8,1,1,2
11,4,0,4,1,0,0,2,9,2,2,1,0,0,2,8,1,1,0,1
12,8,1,10,3,0,0,2,1,0,6,3,0,0,2,8,7,1,0,1
13,4,2,8,0,0,0,2,12,3,8,2,0,0,2,2,8,0,1,0
14,2,3,12,1,13,2,3,1,1,9,1,11,0,3,2,0,0,0,1
15,6,2,7,1,3,2,3,2,0,2,2,13,3,3,6,4,0,0,1
16,1,2,3,0,10,0,3,12,2,3,3,9,0,3,4,2,0,0,1
17,11,1,6,1,0,0,2,11,2,7,3,0,0,2,6,7,0,0,0
18,3,1,7,2,5,0,3,5,1,10,1,13,0,3,5,5,0,0,2
19,8,3,6,0,13,1,3,5,2,12,0,0,0,2,4,5,0,0,0
20,9,2,4,0,2,0,3,1,2,10,0,6,1,3,5,7,0,0,0
21,11,1,2,1,8,2,3,4,2,2,2,0,0,2,0,6,0,0,0
22,6,2,8,3,13,0,3,11,2,3,1,9,1,3,4,2,0,0,1
23,4,1,1,1,8,0,3,12,1,13,2,5,0,3,3,5,0,0,0
24,10,2,5,2,11,3,3,12,3,10,1,1,0,3,5,1,0,0,1
25,6,0,3,2,0,0,2,7,0,7,1,0,0,2,9,4,1,0,1
26,10,3,11,0,0,0,2,5,3,4,3,0,0,2,0,9,0,1,0
27,3,0,1,3,13,1,3,5,1,8,1,12,2,3,4,3,0,0,1
28,4,1,6,2,8,0,3,5,1,2,3,0,0,2,8,7,0,0,1
29,9,2,11,2,0,0,2,3,1,8,3,0,0,2,9,1,1,0,1
30,10,3,12,3,2,2,3,7,0,10,1,0,0,2,2,7,0,0,0
31,4,0,8,1,12,2,3,1,2,9,1,12,0,3,2,0,0,0,1
32,10,2,13,3,0,0,2,9,0,11,3,0,0,2,0,9,0,1,0
