game_id,player_card1_rank,player_card1_suit,player_card2_rank,player_card2_suit,player_card3_rank,player_card3_suit,player_card_count,banker_card1_rank,banker_card1_suit,banker_card2_rank,banker_card2_suit,banker_card3_rank,banker_card3_suit,banker_card_count,player_final_total,banker_final_total,player_natural,banker_natural,winner
1,6,3,8,3,0,0,2,13,1,9,0,0,0,2,4,9,0,1,0
2,12,1,4,1,10,2,3,3,1,9,2,5,2,3,4,7,0,0,0
3,8,1,5,1,8,2,3,2,3,11,3,12,0,3,1,2,0,0,0
4,5,0,11,2,11,0,3,6,1,12,3,0,0,2,5,6,0,0,0
5,3,2,3,3,0,0,2,9,3,7,1,0,0,2,6,6,0,0,2
6,1,0,1,3,0,0,2,8,0,11,1,0,0,2,2,8,0,1,0
7,7,2,5,3,2,1,3,2,0,4,0,0,0,2,4,6,0,0,0
8,3,0,2,2,10,1,3,6,2,9,1,0,0,2,5,5,0,0,2
9,12,2,7,0,0,0,2,7,3,10,3,0,0,2,7,7,0,0,2
10,10,1,5,2,8,2,3,2,0,12,2,9,0,3,3,1,0,0,1
11,9,3,6,1,5,0,3,10,0,4,2,10,3,3,0,4,0,0,0
12,4,1,11,3,13,0,3,7,2,7,0,0,0,2,4,4,0,0,2
13,4,3,3,2,0,0,2,6,2,3,3,0,0,2,7,9,0,1,0
14,8,1,6,3,9,2,3,7,1,11,2,0,0,2,3,7,0,0,0
15,2,3,1,3,2,1,3,13,2,5,1,0,0,2,5,5,0,0,2
16,5,3,10,2,11,1,3,1,2,4,0,0,0,2,5,5,0,0,2
17,11,0,12,0,13,3,3,2,2,3,1,0,0,2,0,5,0,0,0
18,9,1,13,1,0,0,2,3,0,7,3,0,0,2,9,0,1,0,1
19,5,3,7,1,5,2,3,5,1,12,1,8,1,3,7,3,0,0,1
20,1,2,10,0,9,2,3,3,1,13,0,4,1,3,0,7,0,0,0
21,4,2,13,1,9,1,3,11,0,12,3,4,0,3,3,4,0,0,0
22,9,3,6,1,10,1,3,1,0,2,1,13,3,3,5,3,0,0,1
23,6,3,13,2,0,0,2,2,2,1,1,12,2,3,6,3,0,0,1
24,8,3,7,3,0,0,2,7,0,1,3,0,0,2,5,8,0,1,0
25,8,2,5,0,2,3,3,2,0,4,3,0,0,2,5,6,0,0,0
26,3,2,6,2,0,0,2,11,1,8,0,0,0,2,9,8,1,1,1
27,12,0,7,2,0,0,2,9,0,3,0,11,2,3,7,2,0,0,1
28,11,0,5,2,2,0,3,12,1,12,3,1,2,3,7,1,0,0,1
29,13,2,8,0,0,0,2,4,2,11,2,0,0,2,8,4,1,0,1
30,9,0,7,0,0,0,2,7,1,5,0,2,3,3,6,4,0,0,1
31,1,3,2,1,11,1,3,12,0,6,1,0,0,2,3,6,0,0,0
32,5,3,7,2,10,2,3,6,3,6,0,10,1,3,2,2,0,0,2
33,4,3,3,3,0,0,2,3,0,6,2,0,0,2,7,9,0,1,0
34,3,1,1,1,11,3,3,2,2,9,2,4,1,3,4,5,0,0,0
35,13,3,8,3,0,0,2,10,0,8,2,0,0,2,8,8,1,1,2
36,13,0,8,1,0,0,2,9,1,12,2,0,0,2,8,9,1,1,0
37,7,3,12,0,0,0,2,6,1,13,0,0,0,2,7,6,0,0,1
38,4,0,6,3,5,1,3,1,2,4,3,11,0,3,5,5,0,0,2
39,9,0,12,3,0,0,2,10,1,12,1,0,0,2,9,0,1,0,1
40,6,0,2,1,0,0,2,2,0,3,2,0,0,2,8,5,1,0,1
41,9,2,2,3,9,1,3,13,2,4,2,0,0,2,0,4,0,0,0
42,13,3,10,2,6,2,3,2,2,3,3,8,2,3,6,3,0,0,1
43,4,1,11,1,13,1,3,10,0,1,3,8,1,3,4,9,0,0,0
44,5,3,11,3,10,3,3,7,0,8,3,0,0,2,5,5,0,0,2
45,7,2,8,0,1,0,3,11,2,12,2,5,0,3,6,5,0,0,1
46,12,2,2,1,11,0,3,2,0,5,3,0,0,2,2,7,0,0,0
47,1,3,4,1,11,1,3,10,3,2,3,3,1,3,5,5,0,0,2
48,6,1,10,2,0,0,2,4,0,6,2,11,2,3,6,0,0,0,1
49,8,2,7,1,9,2,3,5,0,5,1,10,1,3,4,0,0,0,1
50,13,2,7,0,0,0,2,11,3,1,1,1,2,3,7,2,0,0,1
51,7,2,8,1,2,2,3,12,1,4,3,9,3,3,7,3,0,0,1
52,8,3,6,3,8,0,3,13,3,12,0,12,3,3,2,0,0,0,1
53,3,2,7,3,13,1,3,9,0,1,0,4,2,3,0,4,0,0,0
54,6,2,11,1,0,0,2,13,1,9,0,0,0,2,6,9,0,1,0
55,13,3,5,1,12,3,3,7,2,10,2,0,0,2,5,7,0,0,0
56,1,0,3,2,10,0,3,8,0,8,2,0,0,2,4,6,0,0,0
57,6,0,8,3,9,3,3,4,3,6,1,3,0,3,3,3,0,0,2
58,12,2,7,0,0,0,2,4,1,7,1,11,0,3,7,1,0,0,1
59,3,1,1,3,10,3,3,4,2,10,1,0,0,2,4,4,0,0,2
60,5,0,9,1,12,0,3,12,1,13,2,1,2,3,4,1,0,0,1
61,4,0,2,1,0,0,2,5,2,1,1,0,0,2,6,6,0,0,2
62,2,2,2,0,7,3,3,6,3,11,2,2,3,3,1,8,0,0,0
63,6,2,12,1,0,0,2,1,2,5,3,0,0,2,6,6,0,0,2
64,8,3,10,1,0,0,2,11,0,8,0,0,0,2,8,8,1,1,2
65,1,0,3,1,13,3,3,5,0,7,2,7,0,3,4,9,0,0,0
66,4,3,10,2,9,0,3,4,1,12,3,0,0,2,3,4,0,0,0
67,10,3,11,2,10,0,3,9,3,3,3,9,1,3,0,1,0,0,0
68,11,1,1,1,9,2,3,6,1,7,3,3,0,3,0,6,0,0,0
69,11,3,2,2,4,0,3,6,3,1,3,0,0,2,6,7,0,0,0
70,12,2,4,2,13,2,3,8,2,3,2,12,0,3,4,1,0,0,1
71,13,1,8,1,0,0,2,13,0,7,1,0,0,2,8,7,1,0,1
72,10,3,11,2,9,0,3,11,3,2,3,5,0,3,9,7,0,0,1
73,6,0,9,1,7,1,3,13,0,1,0,12,2,3,2,1,0,0,1
74,13,1,1,2,12,3,3,5,3,8,0,10,2,3,1,3,0,0,0
75,7,0,2,2,0,0,2,9,3,8,1,0,0,2,9,7,1,0,1
76,3,3,12,1,0,0,2,4,2,4,0,0,0,2,3,8,0,1,0
77,5,1,5,2,7,3,3,11,1,6,1,4,1,3,7,0,0,0,1
78,8,3,3,1,1,3,3,12,0,2,1,6,2,3,2,8,0,0,0
79,3,0,13,3,3,2,3,11,0,2,0,10,0,3,6,2,0,0,1
80,13,2,7,3,0,0,2,2,1,12,3,5,2,3,7,7,0,0,2
81,13,0,3,0,11,0,3,13,3,6,3,0,0,2,3,6,0,0,0
82,7,1,11,3,0,0,2,11,2,12,2,5,1,3,7,5,0,0,1
83,1,2,1,3,6,0,3,8,2,9,3,0,0,2,8,7,0,0,1
84,11,1,2,0,0,0,2,10,1,8,1,0,0,2,2,8,0,1,0
85,3,1,9,1,1,1,3,10,2,10,0,4,1,3,3,4,0,0,0
86,7,0,7,2,9,0,3,4,2,9,2,8,3,3,3,1,0,0,1
87,2,3,3,2,13,1,3,10,3,6,1,0,0,2,5,6,0,0,0
88,4,3,5,0,0,0,2,2,2,12,1,0,0,2,9,2,1,0,1
89,4,2,10,3,1,2,3,7,0,7,2,0,0,2,5,4,0,0,1
90,6,1,10,1,0,0,2,1,3,11,1,4,0,3,6,5,0,0,1
91,2,0,4,3,0,0,2,5,3,12,2,1,0,3,6,6,0,0,2
92,9,3,8,2,0,0,2,5,2,8,1,9,1,3,7,2,0,0,1
93,11,3,7,3,0,0,2,12,1,2,3,13,3,3,7,2,0,0,1
94,7,1,11,0,0,0,2,6,2,6,0,4,1,3,7,6,0,0,1
95,11,2,12,3,0,0,2,10,2,9,2,0,0,2,0,9,0,1,0
96,13,2,5,0,8,3,3,3,2,13,1,0,0,2,3,3,0,0,2
97,3,1,2,2,12,0,3,2,1,5,1,0,0,2,5,7,0,0,0
98,12,1,10,1,0,0,2,3,2,6,3,0,0,2,0,9,0,1,0
99,8,0,2,3,0,0,2,8,3,11,0,0,0,2,0,8,0,1,0
100,3,3,13,0,1,2,3,9,1,4,1,13,2,3,4,3,0,0,1
101,7,0,9,0,0,0,2,13,3,12,0,2,1,3,6,2,0,0,1
102,8,1,4,2,9,2,3,11,1,7,2,0,0,2,1,7,0,0,0
103,2,0,7,1,0,0,2,5,3,3,1,0,0,2,9,8,1,1,1
104,8,2,5,0,12,2,3,7,3,13,1,0,0,2,3,7,0,0,0
105,5,2,5,1,10,2,3,10,0,1,3,4,0,3,0,5,0,0,0
106,12,3,3,0,6,0,3,10,3,6,1,1,0,3,9,7,0,0,1
107,9,0,7,3,0,0,2,8,2,4,1,2,0,3,6,4,0,0,1
108,5,2,3,1,0,0,2,12,2,13,2,0,0,2,8,0,1,0,1
109,7,0,6,1,8,3,3,5,0,5,1,6,3,3,1,6,0,0,0
110,8,1,9,2,0,0,2,10,1,13,1,13,0,3,7,0,0,0,1
111,6,0,5,3,11,1,3,8,0,7,1,0,0,2,1,5,0,0,0
112,3,3,1,1,12,3,3,3,2,10,2,1,2,3,4,4,0,0,2
113,3,0,13,3,4,0,3,1,0,11,3,7,2,3,7,8,0,0,0
114,12,1,2,2,0,0,2,9,1,12,0,0,0,2,2,9,0,1,0
115,10,3,6,2,0,0,2,1,3,2,3,4,3,3,6,7,0,0,0
116,10,1,10,2,8,1,3,3,3,8,2,13,0,3,8,1,0,0,1
117,9,3,6,3,13,1,3,2,2,11,2,4,0,3,5,6,0,0,0
118,3,0,12,3,3,1,3,4,2,9,0,11,1,3,6,3,0,0,1
119,1,0,6,2,0,0,2,10,3,1,1,8,3,3,7,9,0,0,0
120,10,0,1,2,12,0,3,7,0,5,0,2,3,3,1,4,0,0,0
121,5,2,13,3,11,0,3,6,1,11,3,0,0,2,5,6,0,0,0
122,8,0,1,3,0,0,2,2,1,13,2,0,0,2,9,2,1,0,1
123,9,1,4,1,3,2,3,7,3,4,3,7,2,3,6,8,0,0,0
124,13,1,5,2,0,0,2,9,1,10,3,0,0,2,5,9,0,1,0
125,7,1,6,1,7,0,3,12,3,7,3,0,0,2,0,7,0,0,0
126,10,0,8,2,0,0,2,9,3,11,0,0,0,2,8,9,1,1,0
127,11,1,12,0,0,0,2,4,1,5,0,0,0,2,0,9,0,1,0
128,2,0,2,3,4,0,3,4,2,13,2,11,3,3,8,4,0,0,1
129,10,1,11,2,0,0,2,2,1,6,2,0,0,2,0,8,0,1,0
130,6,0,3,3,0,0,2,12,2,1,1,0,0,2,9,1,1,0,1
131,3,0,5,3,0,0,2,12,1,13,3,0,0,2,8,0,1,0,1
132,9,0,13,0,0,0,2,9,2,8,3,0,0,2,9,7,1,0,1
133,5,1,10,2,4,3,3,1,3,2,2,1,0,3,9,4,0,0,1
134,2,0,9,0,7,2,3,4,2,6,1,2,1,3,8,2,0,0,1
135,1,1,11,1,10,2,3,9,2,6,0,0,0,2,1,5,0,0,0
